NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4
"What is the submission ID assigned to the manuscript ""Meta-Annotated Historical Texts: A Multi-Institutional Resource and Legal Protocol for South Asian Colonial Newspapers""?",SUB-JOCCH-2024-0421,single-hop,,
"In which volume and issue of the ACM Journal on Computing and Cultural Heritage was ""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains"" scheduled for publication?","Volume 16, Issue 4 (September 2021)",single-hop,,
"What is the submission ID for the paper ""Transnational NLP Reflection Memo: Protocol Harmonization and Compliance Lessons from Multinational Historical NLP Consortia"" submitted to ACL 2023?",SUB-ACL-2023-0321,single-hop,,
"What is the title of the paper submitted under Submission ID SUB-JOCCH-2022-0362, and to which journal was it submitted?","Leveraging Multilingual NLP for Historical Data: Case Studies Across South Asian Texts, submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH)",multi-hop,,
Does Submission ID SUB-JOCCH-2024-0421 correspond to only one manuscript title throughout the correspondence?,FALSE,reasoning,,
Did the JCDL 2023 editorial decision on submission SUB-JCDL-2023-1174 require major revisions before camera-ready submission?,FALSE,reasoning,,
Was the camera-ready package for SUB-ACL-2024-2386 permitted to be amended after passing final compliance checks?,FALSE,reasoning,,
What DOI was assigned to the manuscript submitted under SUB-JOCCH-2025-0194?,Not available,not available,,
What was the final decision on submission SUB-ACL-2023-0321 after the Revise & Resubmit round?,Not available,not available,,
What is the Zoom link given for the internal demo run-through meeting dated 11th October 2020?,https://stanford.zoom.us/j/95462137955?pwd=demo2022,single-hop,,
"What is the meeting date given for the ""JCDL 2022 Project Spotlight - Internal Dry Run"" meeting?",6th September 2022,single-hop,,
Who sent the email with Mail ID MAILPLU9S0KM?,Sunita Sen,single-hop,,
"According to the 7th April Project Retrospective Call minutes, which task did Prof. Ramesh Bhatia work on?",Project management in distributed teams,single-hop,,
Which four people attended the internal demo run-through meeting dated 11th October 2020?,"Dr. Michael Bradley, Sunita Sen, Dr. Ananya Chatterjee, Prof. Ramesh Bhatia",multi-hop,,
Which methods did Sunita Sen work with for the cross-lingual entity normalization task in her JCDL tutorial-proposal draft?,"Levenshtein distance, BERT-based alignment, FastText embeddings",multi-hop,,
"According to the 7th April Project Retrospective Call minutes, which task did Dr. Michael Bradley work on and which task did Dr. Ananya Chatterjee work on?",Michael Bradley: reproducibility practices; Ananya Chatterjee: cross-corpus metadata normalization,multi-hop,,
"What paper title is associated with SubmissionID SUB-JCDL-2023-0147, and which four people was the camera-ready acknowledgment email addressed to?","Semantic Drift Detection and Interoperability in Low-Resource Historical Corpora: An Annotated Benchmark and Evaluation Framework; addressed to Dr. Michael Bradley, Sunita Sen, Prof. Ramesh Bhatia, Dr. Ananya Chatterjee",multi-hop,,
"Who sent the ACM JOCCH submission-confirmation email for SUB-JOCCH-2023-0843, and on what date was it sent?",Dr. Ananya Chatterjee; sent on 4th January 2024,multi-hop,,
"Which mail thread (by subject) is the email with Mail ID MAILPLU9S0KM part of, and which submission/paper does that email report as just submitted?","MailThread subject: Submission Confirmation - ACL 2021 Oral Presentation Materials; reports submission of SUB-ACL-2022-1098, ""A Provenance-Aware Annotation Protocol for NLP on Historical Document Corpora""",multi-hop,,
"What is the full agenda and Zoom link for the JOCCH camera-ready sign-off meeting whose Meeting Details list ""Date: 14th February 2019""?","Agenda: (1) review of recent document changes, (2) final cross-check using internal checklist, (3) confirmation of submission procedure on ScholarOne, (4) open floor for last adjustments. Link: https://stanford.zoom.us/j/98347920145?pwd=JOCCHfinalsignoff",multi-hop,,
"Who sent the JCDL 2022 spotlight submission-confirmation email bearing SubmissionID SUB-JCDL-2022-0092, and which mail thread subject is it part of?",Dr. Ananya Chatterjee; MailThread subject: Submission Confirmation for JCDL 2022 Spotlight & Next Steps,multi-hop,,
Do the paper titles registered under SUB-JCDL-2023-0417 and SUB-JCDL-2023-0147 match exactly?,FALSE,reasoning,,
Did the accepted decision notification for SUB-ACL-2022-1098 come before the camera-ready submission acknowledgment for SUB-ACL-2022-0047?,TRUE,reasoning,,
Does the JCDL 2022 acknowledgment for SubmissionID SUB-JCDL-2022-1189 list exactly four co-authors?,TRUE,reasoning,,
Did SubmissionID SUB-JCDL-2022-0432 go through more than one revision-decision cycle before reaching final acceptance?,FALSE,reasoning,,
"According to the 7th April Project Retrospective Call minutes, did Sunita Sen and Dr. Ananya Chatterjee work on the same task?",FALSE,reasoning,,
"Among SUB-JCDL-2022-0092, SUB-JCDL-2022-1189, and SUB-JCDL-2022-0432, is SUB-JCDL-2022-0432 the only one with a confirmed final acceptance status recorded?",TRUE,reasoning,,
What was the final decision for SUB-JOCCH-2023-0782 after its Major Revision round?,Not available,not available,,
What DOI is recorded for the paper submitted under SUB-JOCCH-2023-0782?,Not available,not available,,
What editorial decision was recorded for SubmissionID SUB-JOCCH-2023-0843?,Not available,not available,,
